Round,Category,Value,Clue,Answer,Daily Double
1,Category One,200,Write the easiest clue for this category here.,Answer here,
1,,400,Second clue…,Answer,
1,,600,Third clue…,Answer,
1,,800,Fourth clue…,Answer,yes
1,,1000,Hardest clue for this category…,Answer,
1,Category Two,200,…,…,
1,,400,…,…,
1,,600,…,…,
1,,800,…,…,
1,,1000,…,…,
1,Category Three,200,…,…,
1,,400,…,…,
1,,600,…,…,
1,,800,…,…,
1,,1000,…,…,
1,Category Four,200,…,…,
1,,400,…,…,
1,,600,…,…,
1,,800,…,…,
1,,1000,…,…,
1,Category Five,200,…,…,
1,,400,…,…,
1,,600,…,…,
1,,800,…,…,
1,,1000,…,…,
1,Category Six,200,…,…,
1,,400,…,…,
1,,600,…,…,
1,,800,…,…,
1,,1000,…,…,
Final,Final Category,,The Final Jeopardy clue goes here.,Final answer,
